split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,1,contraindication,4995.0,fuse_rankavg,0.15125550125939796,0.5237553365143144,176,1262,0.0,4.0,0.0005329477887592346,varA
cardiovascular,1,contraindication,11057.0,p_A,0.25050542958646965,0.7981115138261755,131,1262,0.0,30.0,0.12770219499679852,varA
cardiovascular,1,contraindication,11057.0,p_B,0.10044560585115642,0.510107248196219,131,1262,0.0,30.0,0.12770219499679852,varA
cardiovascular,1,contraindication,11057.0,fuse_rankavg,0.21869025069561746,0.7024081910894231,131,1262,0.0,30.0,0.12770219499679852,varA
cardiovascular,1,contraindication,2800.0,p_A,0.03957966011490063,0.5494894857118896,39,1262,0.0,4.0,0.9793529524868672,varA
cardiovascular,1,contraindication,2800.0,p_B,0.041904731226526326,0.5529068914187475,39,1262,0.0,4.0,0.9793529524868672,varA
cardiovascular,1,contraindication,2800.0,fuse_rankavg,0.040841558598736505,0.5513239826404176,39,1262,0.0,4.0,0.9793529524868672,varA
cardiovascular,1,contraindication,5068.0,p_A,0.5852734116083032,0.845678461867732,214,1262,0.0,83.0,0.402963754505376,varA
cardiovascular,1,contraindication,5068.0,p_B,0.18364369087658028,0.5679710351715773,214,1262,0.0,83.0,0.402963754505376,varA
cardiovascular,1,contraindication,5068.0,fuse_rankavg,0.3613832973789941,0.7464641150032104,214,1262,0.0,83.0,0.402963754505376,varA
cardiovascular,1,contraindication,2679.0,p_A,0.17285152579743454,0.7352339728032973,109,1262,0.0,10.0,0.29548799574210144,varA
cardiovascular,1,contraindication,2679.0,p_B,0.07737415891340596,0.48071643976224776,109,1262,0.0,10.0,0.29548799574210144,varA
cardiovascular,1,contraindication,2679.0,fuse_rankavg,0.1258687229391409,0.6362381342648218,109,1262,0.0,10.0,0.29548799574210144,varA
cardiovascular,1,contraindication,6716.0,p_A,0.5834252352640352,0.8459415352785903,214,1262,0.0,87.0,0.4034114151248928,varA
cardiovascular,1,contraindication,6716.0,p_B,0.17980135653205248,0.5685060997360348,214,1262,0.0,87.0,0.4034114151248928,varA
cardiovascular,1,contraindication,6716.0,fuse_rankavg,0.36790921018599065,0.7476836163230364,214,1262,0.0,87.0,0.4034114151248928,varA
cardiovascular,1,contraindication,2277.0,p_A,0.22452437778517162,0.7664027664027664,74,1262,0.0,97.0,0.5400060438362916,varA
cardiovascular,1,contraindication,2277.0,p_B,0.06812521524100355,0.5923309673309674,74,1262,0.0,97.0,0.5400060438362916,varA
cardiovascular,1,contraindication,2277.0,fuse_rankavg,0.11777520358328866,0.7080091455091455,74,1262,0.0,97.0,0.5400060438362916,varA
cardiovascular,1,contraindication,4994.0,p_A,0.042579363228302386,0.770048309178744,20,1262,0.0,35.0,0.4408339383587805,varA
cardiovascular,1,contraindication,4994.0,p_B,0.017739241569875344,0.5494363929146538,20,1262,0.0,35.0,0.4408339383587805,varA
cardiovascular,1,contraindication,4994.0,fuse_rankavg,0.04625947535162899,0.6833333333333333,20,1262,0.0,35.0,0.4408339383587805,varA
cardiovascular,1,contraindication,5311.0,p_A,0.2688317155295093,0.8097529347529346,74,1262,0.0,99.0,0.4789484615620825,varA
cardiovascular,1,contraindication,5311.0,p_B,0.07166578578359753,0.6021248521248521,74,1262,0.0,99.0,0.4789484615620825,varA
cardiovascular,1,contraindication,5311.0,fuse_rankavg,0.12741001595656526,0.7445229320229321,74,1262,0.0,99.0,0.4789484615620825,varA
cardiovascular,1,contraindication,6746.0,p_A,0.03610004367381142,0.6876409017713365,20,1262,0.0,28.0,0.5140008067802015,varA
cardiovascular,1,contraindication,6746.0,p_B,0.017177809411361378,0.5382045088566828,20,1262,0.0,28.0,0.5140008067802015,varA
cardiovascular,1,contraindication,6746.0,fuse_rankavg,0.04696752039839558,0.618780193236715,20,1262,0.0,28.0,0.5140008067802015,varA
cardiovascular,1,contraindication,11479.0,p_A,0.1433898883215758,0.7160971067221067,78,1262,0.0,5.0,0.4088704865228511,varA
cardiovascular,1,contraindication,11479.0,p_B,0.0720107644753294,0.5678815835065836,78,1262,0.0,5.0,0.4088704865228511,varA
cardiovascular,1,contraindication,11479.0,fuse_rankavg,0.11192282704093756,0.6686211451836452,78,1262,0.0,5.0,0.4088704865228511,varA
cardiovascular,1,contraindication,1823.0,p_A,0.04898585007494341,0.5956080815492256,31,1262,0.0,17.0,0.6744711501447926,varA
cardiovascular,1,contraindication,1823.0,p_B,0.029496933499817142,0.5696391603993607,31,1262,0.0,17.0,0.6744711501447926,varA
cardiovascular,1,contraindication,1823.0,fuse_rankavg,0.03852855353309488,0.5905636644742014,31,1262,0.0,17.0,0.6744711501447926,varA
cardiovascular,1,contraindication,8364.0,p_A,0.03190116636912578,0.5013380632312671,26,1262,0.0,5.0,0.2400751900281418,varA
cardiovascular,1,contraindication,8364.0,p_B,0.021409702491978252,0.5414177246701519,26,1262,0.0,5.0,0.2400751900281418,varA
cardiovascular,1,contraindication,8364.0,fuse_rankavg,0.022034585549344128,0.5158700522778192,26,1262,0.0,5.0,0.2400751900281418,varA
cardiovascular,1,contraindication,1370.0,p_A,0.007172484353777116,0.4211661341853035,10,1262,0.0,3.0,0.9756146937642839,varA
cardiovascular,1,contraindication,1370.0,p_B,0.006845899276008181,0.40023961661341856,10,1262,0.0,3.0,0.9756146937642839,varA
