split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag,fusion_w
cardiovascular,2,indication,5299.0,fuse_mlp,0.0025112196998911215,0.4404960981047938,4,1798,0.0,56.0,0.3360722728983118,varA,0.02
cardiovascular,2,indication,5010.0,p_A,1.0,1.0,1,1798,0.0,216.0,0.5251356145964052,varA,0.02
cardiovascular,2,indication,5010.0,p_B,0.05,0.9894268224819143,1,1798,0.0,216.0,0.5251356145964052,varA,0.02
cardiovascular,2,indication,5010.0,fuse_rankavg,0.25,0.9986087924318309,1,1798,0.0,216.0,0.5251356145964052,varA,0.02
cardiovascular,2,indication,5010.0,fuse_scalar,0.05263157894736842,0.9899833055091819,1,1798,0.0,216.0,0.5251356145964052,varA,0.02
cardiovascular,2,indication,5010.0,fuse_mlp,1.0,1.0,1,1798,0.0,216.0,0.5251356145964052,varA,0.02
cardiovascular,2,indication,465.0,p_A,0.000784313725490196,0.29104062326099056,1,1798,0.0,11.0,0.08715645419630348,varA,0.02
cardiovascular,2,indication,465.0,p_B,0.0006027727546714888,0.07735114079020589,1,1798,0.0,11.0,0.08715645419630348,varA,0.02
cardiovascular,2,indication,465.0,fuse_rankavg,0.0005984440454817474,0.0709515859766277,1,1798,0.0,11.0,0.08715645419630348,varA,0.02
cardiovascular,2,indication,465.0,fuse_scalar,0.0006031363088057901,0.07790762381747351,1,1798,0.0,11.0,0.08715645419630348,varA,0.02
cardiovascular,2,indication,465.0,fuse_mlp,0.0006067961165048543,0.08347245409015025,1,1798,0.0,11.0,0.08715645419630348,varA,0.02
cardiovascular,2,indication,745.0,p_A,0.002579023200220886,0.26822916666666663,6,1798,0.0,6.0,0.47149107155052833,varA,0.02
cardiovascular,2,indication,745.0,p_B,0.00399016597614713,0.49488467261904756,6,1798,0.0,6.0,0.47149107155052833,varA,0.02
cardiovascular,2,indication,745.0,fuse_rankavg,0.0028377912918068388,0.34965587797619047,6,1798,0.0,6.0,0.47149107155052833,varA,0.02
cardiovascular,2,indication,745.0,fuse_scalar,0.003917795974288001,0.4896763392857143,6,1798,0.0,6.0,0.47149107155052833,varA,0.02
cardiovascular,2,indication,745.0,fuse_mlp,0.0027294788316826,0.31659226190476186,6,1798,0.0,6.0,0.47149107155052833,varA,0.02
cardiovascular,2,indication,19514.0,p_A,0.011764705882352941,0.9532554257095158,1,1798,0.0,4.0,0.8795109453225262,varA,0.02
cardiovascular,2,indication,19514.0,p_B,0.00186219739292365,0.7017250973845298,1,1798,0.0,4.0,0.8795109453225262,varA,0.02
cardiovascular,2,indication,19514.0,fuse_rankavg,0.0035211267605633804,0.8427935447968837,1,1798,0.0,4.0,0.8795109453225262,varA,0.02
cardiovascular,2,indication,19514.0,fuse_scalar,0.0019193857965451055,0.7106288258208124,1,1798,0.0,4.0,0.8795109453225262,varA,0.02
cardiovascular,2,indication,19514.0,fuse_mlp,0.010752688172043012,0.9488035614913746,1,1798,0.0,4.0,0.8795109453225262,varA,0.02
cardiovascular,2,indication,8542.0,p_A,0.0028328611898017,0.8041179744017808,1,1798,0.0,16.0,0.6131808122026181,varA,0.02
